iter	Passed	Remaining
0	4358	4353915
1	7861	3922922
2	11312	3759355
3	14113	3514385
4	17294	3441701
5	19901	3297011
6	22842	3240381
7	25424	3152617
8	28464	3134237
9	30980	3067020
10	33103	2976264
11	35503	2923109
12	37572	2852646
13	40655	2863336
14	44057	2893128
15	46671	2870281
16	49495	2861996
17	52871	2884417
18	55648	2873211
19	58616	2872204
20	60808	2834844
21	63576	2826263
22	67106	2850584
23	69731	2835760
24	73435	2863973
25	76512	2866264
26	79319	2858442
27	81952	2844919
28	84437	2827188
29	87561	2831148
30	90697	2835039
31	93832	2838436
32	97368	2853188
33	100758	2862722
34	104279	2875146
35	107047	2866492
36	111019	2889516
37	113876	2882883
38	117409	2893102
39	119840	2876175
40	122919	2875125
41	125682	2866754
42	128676	2863810
43	131487	2856871
44	134520	2854816
45	137529	2852239
46	140021	2839159
47	142810	2832409
48	146085	2835243
49	148983	2830684
50	151887	2826302
51	154327	2813505
52	157183	2808543
53	160159	2805763
54	163622	2811332
55	166407	2805147
56	168739	2791602
57	172290	2798241
58	175518	2799371
59	178153	2791072
60	181112	2787945
61	184031	2784214
62	186092	2767753
63	189340	2769106
64	192369	2767158
65	194937	2758655
66	198252	2760739
67	201353	2759727
68	204475	2758941
69	207957	2762861
70	211102	2762167
71	214234	2761242
72	217614	2763400
73	220441	2758492
74	223988	2762526
75	226820	2757656
76	230075	2757918
77	232527	2748595
78	235623	2746957
79	238592	2743817
80	241456	2739492
81	244048	2732158
82	246698	2725574
83	249387	2719506
84	252138	2714194
85	254634	2706229
86	257422	2701457
87	260229	2696924
88	263301	2695144
89	266239	2691982
90	269035	2687399
91	271573	2680317
92	274832	2680360
93	278868	2687813
94	281929	2685748
95	285053	2684253
96	288823	2688735
97	292218	2689602
98	295369	2688163
99	298179	2683616
100	300850	2677866
101	303828	2674878
102	306510	2669319
103	309612	2667433
104	312571	2664300
105	315854	2663901
106	319103	2663168
107	322180	2660975
108	325462	2660431
109	329482	2665813
110	332576	2663606
111	335020	2656237
112	338196	2654690
113	341140	2651320
114	343588	2644138
115	346357	2639479
116	349518	2637815
117	351941	2630612
118	354697	2625954
119	357805	2623907
